subject,condition,fixation_advantage
103,all,0.8734
103,all,2.9314
103,all,-0.0578
103,all,-0.0818
103,all,0.019599999999999996
103,all,0.2126
103,all,-0.16640000000000002
103,all,0.3322
103,all,-0.05180000000000001
103,all,-0.491
103,all,-0.30560000000000004
103,all,0.8426
103,all,-0.247
103,all,0.2854
103,all,0.27520000000000006
103,all,0.28500000000000003
103,all,-0.1834
103,all,-0.046200000000000005
103,all,0.18880000000000002
103,all,-0.1872
103,all,0.6314
103,all,-0.09460000000000003
103,all,-0.9382
103,all,2.5744000000000002
103,all,0.7478
103,all,3.2868000000000004
103,all,1.167
103,all,3.7312
103,all,1.3218
103,all,4.712
103,all,-1.8922
103,all,5.7734
103,all,-1.9078
103,all,6.0346
103,all,1.4604000000000001
103,all,6.261
103,all,-0.1732
103,all,0.8568
103,all,-0.2162
103,all,0.9698
103,all,-0.3574
103,all,-0.030600000000000023
103,all,1.3436
104,all,-0.022600000000000002
104,all,-0.259
104,all,-0.038200000000000005
104,all,-0.218
104,all,1.062
104,all,-0.2866
104,all,1.2408
104,all,-0.4694
104,all,2.003
104,all,-0.7282000000000001
104,all,3.8446
104,all,-0.1536
104,all,-0.0252
104,all,-0.024800000000000003
104,all,-0.0586
104,all,0.05959999999999999
104,all,-0.13
104,all,-0.0242
104,all,-0.0586
104,all,-0.048600000000000004
104,all,-0.0268
104,all,-0.031
104,all,-0.0232
104,all,-0.0584
104,all,-0.0994
104,all,-0.11120000000000001
104,all,-0.15159999999999998
104,all,-0.0194
104,all,0.0694
104,all,-0.0818
104,all,0.1676
104,all,-0.197
104,all,-0.038
104,all,-0.0604
104,all,0.11719999999999998
104,all,0.8336
104,all,-0.39380000000000004
104,all,-0.4224
104,all,-0.0258
104,all,-0.02180000000000001
104,all,-0.2434
104,all,-0.022600000000000002
104,all,-0.0616
104,all,-0.0246
104,all,-0.024399999999999998
104,all,0.10020000000000001
104,all,0.0584
104,all,-0.1876
104,all,-0.454
105,all,-0.2792
105,all,-0.31060000000000004
105,all,1.2818
105,all,-0.41960000000000003
105,all,1.3882
105,all,-0.030600000000000002
105,all,-0.38939999999999997
105,all,-0.0434
105,all,-0.0636
105,all,0.002400000000000006
105,all,-0.0792
105,all,-0.0314
105,all,-0.10740000000000001
105,all,-0.1966
105,all,-0.028800000000000003
105,all,-0.073
105,all,-0.062200000000000005
105,all,-0.1052
105,all,0.2032
105,all,-0.006800000000000012
105,all,-0.0726
105,all,-0.0282
105,all,-0.0256
105,all,-0.066
105,all,-0.0432
105,all,-0.0524
105,all,-0.1092
105,all,-0.19319999999999998
105,all,0.2702
105,all,-0.15
105,all,-0.046200000000000005
105,all,0.1966
105,all,-0.04
105,all,-0.0864
105,all,-0.0508
105,all,-0.078
105,all,0.15159999999999998
105,all,0.101
105,all,-0.037200000000000004
105,all,-0.0664
105,all,-0.0334
105,all,-0.1724
105,all,-0.1472
105,all,-0.0286
105,all,-0.0572
105,all,0.2532
105,all,-0.0194
105,all,-0.058
105,all,0.016200000000000003
105,all,-0.0348
105,all,0.1348
105,all,0.1262
105,all,0.25860000000000005
105,all,-0.182
105,all,-0.0424
105,all,-0.06540000000000001
105,all,-0.0714
105,all,-0.10020000000000001
105,all,0.0338
105,all,-0.0388
105,all,-0.0678
105,all,-0.0912
105,all,-0.1482
105,all,-0.014199999999999999
105,all,-0.09740000000000001
105,all,0.4594
105,all,-0.031
105,all,-0.0586
105,all,0.0492
105,all,0.13
105,all,0.32439999999999997
105,all,-0.0604
105,all,-0.027800000000000002
105,all,-0.041600000000000005
105,all,-0.0708
105,all,-0.039
105,all,-0.135
105,all,-0.1824
106,all,-0.1874
106,all,-0.2318
106,all,-0.0262
106,all,0.0864
106,all,-0.054
106,all,-0.06620000000000001
106,all,-0.217
106,all,0.14780000000000001
106,all,0.6218
106,all,0.1624
106,all,-0.4988
106,all,-0.5792
106,all,-0.0376
106,all,-0.1072
106,all,-0.14400000000000002
106,all,-0.19340000000000002
106,all,-0.24480000000000002
106,all,0.011599999999999994
106,all,-0.048
106,all,-0.1032
106,all,-0.13080000000000003
106,all,-0.0384
106,all,0.16019999999999998
106,all,-0.03
106,all,-0.1732
106,all,-0.1846
106,all,-0.2074
106,all,-0.16939999999999997
106,all,0.2338
106,all,-0.4138
106,all,-0.09380000000000001
106,all,-0.1756
106,all,-0.2376
106,all,0.7442000000000001
106,all,0.019600000000000024
106,all,1.2122000000000002
106,all,0.10980000000000001
106,all,-0.6226
106,all,-0.063
106,all,-0.17980000000000002
106,all,-0.2378
106,all,-0.269
106,all,-0.0632
106,all,-0.3536
106,all,-0.4004
106,all,-0.45460000000000006
106,all,-0.247
106,all,-0.5894
106,all,-0.36979999999999996
106,all,0.429
106,all,-0.9252
106,all,1.1222
106,all,-0.7862
106,all,-0.7075999999999999
106,all,0.6798
106,all,-0.7966
106,all,1.6378
106,all,-0.9582
106,all,-1.0458
106,all,-0.9054000000000001
106,all,2.8328
106,all,-0.46920000000000006
106,all,-0.496
106,all,0.2675999999999999
106,all,-0.16659999999999991
106,all,0.5334000000000001
106,all,-0.00859999999999991
106,all,1.1184
106,all,2.8342
106,all,0.14919999999999983
106,all,-1.9636
106,all,-2.2134
106,all,3.0236
106,all,-1.9586
106,all,-0.0364
106,all,0.014599999999999995
106,all,-0.24
106,all,0.08700000000000001
106,all,-0.07859999999999999
106,all,-0.13140000000000002
106,all,-0.1758
106,all,-0.047
106,all,-0.1192
106,all,-0.1566
106,all,-0.16640000000000002
106,all,-0.0374
106,all,0.148
106,all,-0.2134
106,all,-0.056600000000000004
106,all,-0.0892
106,all,0.02819999999999999
106,all,0.2426
106,all,-0.0428
106,all,-0.0888
106,all,-0.13640000000000002
106,all,0.1146
106,all,-0.0071999999999999885
106,all,0.31060000000000004
106,all,0.063
106,all,0.5022
106,all,0.17339999999999997
106,all,0.6872
106,all,0.4728
106,all,-0.6102000000000001
106,all,0.779
106,all,-0.036200000000000045
106,all,0.7030000000000001
106,all,-0.624
106,all,-0.056799999999999996
106,all,0.2426
106,all,0.1128
106,all,-0.178
106,all,-0.055600000000000004
106,all,-0.10200000000000001
106,all,-0.1926
106,all,0.26739999999999997
106,all,-0.4052
106,all,-0.11060000000000003
106,all,-0.2842
106,all,-0.5918
106,all,0.06639999999999997
106,all,-0.0916
106,all,-0.146
106,all,-0.291
106,all,-0.015399999999999978
106,all,-0.4214
106,all,0.38560000000000005
106,all,-0.5227999999999999
106,all,-0.2926
106,all,0.15839999999999999
106,all,-0.17260000000000003
106,all,-0.1118
106,all,-0.0346
106,all,0.1006
106,all,-0.1916
106,all,-0.043000000000000003
106,all,0.056400000000000006
106,all,0.6922
106,all,-0.2922
106,all,-0.33480000000000004
106,all,-0.0198
106,all,-0.048799999999999996
106,all,-0.0858
108,all,-0.06820000000000001
108,all,-0.2814
108,all,-0.379
