subject,correct_bin,game,rt,true_offer_value,recalled_offer_value,recalled_total_count,recalled_offer_count
107,1,5,13.776428124983797,-3.0,4.0,4,3
107,0,5,4.113806707900949,-2.0,-3.0,4,3
107,0,5,2.9584845829522237,1.0,-8.0,4,2
107,1,5,0.3194362920476123,3.0,-1.0,4,2
107,1,5,0.7017719170544297,1.0,-1.0,4,2
107,0,5,2.7815970829688013,7.0,-6.0,4,1
107,0,6,18.22684204101097,-3.0,6.0,3,1
107,1,6,4.359056832967326,-7.0,-9.0,3,1
107,1,6,0.8434889588970691,-7.0,-14.0,3,2
107,1,6,3.160323333926499,-5.0,-14.0,3,2
107,0,6,2.413060124963522,-1.0,6.0,3,1
107,0,6,10.49712583294604,-1.0,1.0,3,2
107,1,6,0.3592375409789383,-5.0,-9.0,3,1
107,0,6,3.2462410000152886,-3.0,1.0,3,2
107,1,7,1.284449166036211,1.0,6.0,5,3
107,1,7,5.820232916041277,-2.0,-10.0,5,2
107,1,7,4.8907827499788254,-1.0,-4.0,5,2
107,1,7,5.415332042030059,2.0,12.0,5,3
107,1,7,7.50757070898544,-2.0,-9.0,5,3
107,1,7,5.216985790990293,2.0,11.0,5,2
107,1,7,5.620570541010238,-1.0,-8.0,5,3
107,1,7,2.857039749971591,1.0,10.0,5,2
108,0,1,4.162718583014794,-2.0,-2.0,5,3
108,1,1,31.21846983302385,1.0,-4.0,5,2
108,1,1,11.440919917076826,-2.0,-2.0,5,3
108,1,1,8.766483458108269,3.0,3.0,5,3
108,0,1,20.06888000003528,-2.0,-2.0,5,3
108,0,1,2.0861965420190245,1.0,-4.0,5,2
108,0,1,6.953980624908581,1.0,-4.0,5,2
108,1,1,8.064403916941956,-4.0,-9.0,5,2
108,0,2,39.49294575001113,-6.0,2.0,5,2
108,1,2,24.572769084014,-14.0,-6.0,5,2
108,1,2,8.126673542079516,1.0,1.0,5,3
108,1,2,23.351438875077292,-7.0,-7.0,5,3
108,1,2,14.330751167028213,-6.0,2.0,5,2
108,1,2,4.227787292096764,-6.0,-5.0,5,3
108,0,2,1.5534402909688652,-7.0,0.0,5,2
108,0,2,3.038086959044449,-7.0,-7.0,5,3
108,1,3,20.462851708987728,-4.0,-4.0,6,3
108,1,3,16.090838625095785,2.0,2.0,6,3
108,1,3,4.992626124992967,-4.0,-4.0,6,3
108,1,3,11.15167383395601,7.0,7.0,6,3
108,1,3,10.574085791013204,7.0,7.0,6,3
108,1,3,13.171709959045984,1.0,1.0,6,3
108,1,3,13.431264540995471,2.0,2.0,6,3
108,1,3,17.56397070805542,1.0,1.0,6,3
108,1,4,19.99227895902004,2.0,2.0,6,3
108,1,4,10.496484915958716,-4.0,-4.0,6,3
108,1,4,21.719300207914785,-1.0,-1.0,6,3
108,1,4,8.840685790986754,-3.0,-3.0,6,3
108,1,4,17.951579749933444,2.0,2.0,6,3
108,1,4,8.166923791985027,1.0,1.0,6,3
108,1,4,16.97128237504512,-1.0,-1.0,6,3
108,1,4,6.2863810419803485,-4.0,-4.0,6,3
108,0,5,52.66230141709093,2.0,-7.0,5,2
108,1,5,12.221284125000238,-1.0,-10.0,5,2
108,1,5,13.674698290997185,2.0,-7.0,5,2
108,1,5,17.609696416999213,-1.0,-1.0,5,3
108,1,5,11.02774637506809,-1.0,-1.0,5,3
108,0,5,22.29440200002864,-1.0,-1.0,5,3
108,1,5,6.7792512079468,2.0,2.0,5,3
108,1,5,10.040977333090268,2.0,-7.0,5,2
108,0,6,30.69722933298908,4.0,-1.0,5,3
108,0,6,7.4935419170651585,-4.0,0.0,5,2
108,1,6,10.306168082985096,15.0,-3.0,5,3
108,0,6,5.335200542001985,8.0,4.0,5,3
108,1,6,7.851003458956256,3.0,-7.0,5,2
108,1,6,10.818780583911575,8.0,4.0,5,3
108,0,6,4.2004309999756515,7.0,-2.0,5,2
108,1,6,6.400084082968533,3.0,-7.0,5,2
108,0,7,41.96226291696075,-4.0,-4.0,3,3
108,1,7,6.2632605829276145,4.0,,3,0
108,1,7,12.238361000083389,-4.0,-4.0,3,3
108,0,7,23.87651770899538,-2.0,1.0,3,1
108,1,7,2.2686958339763805,1.0,3.0,3,2
108,0,7,6.2246718750102445,2.0,-5.0,3,2
108,1,7,4.939910541987047,4.0,,3,0
108,1,7,11.69796449993737,-1.0,-7.0,3,1
109,1,1,7.184989625005983,-3.0,-12.0,5,2
109,1,1,3.065139290993102,3.0,3.0,5,3
109,1,1,14.29742104106117,1.0,-7.0,5,3
109,0,1,8.078870333964005,-1.0,-2.0,5,2
109,0,1,3.8034982919925824,1.0,0.0,5,2
109,1,1,12.722395790973678,-3.0,-9.0,5,3
109,1,1,1.9508719580480829,-1.0,-9.0,5,3
109,1,1,7.442949291085824,3.0,0.0,5,2
109,0,2,4.2851203749887645,3.0,-1.0,3,1
109,0,2,3.9265500410692766,3.0,-1.0,3,1
