subject_id,game,trial_number,option,rt_s,total_fix_time_ms,n_fixations,total_fix_time_s,true_offer_value,recalled_offer_value,accept
106,5,34,Small,5.125018166960217,1976.0,5,1.976,-1.0,-1.0,0.0
106,5,35,Pattern,2.560310333967209,1051.0,4,1.051,2.0,2.0,1.0
106,5,36,Animal,2.290591500001028,1035.0,4,1.035,3.0,3.0,1.0
106,5,37,Large,2.4461863751057535,950.0,2,0.95,2.0,2.0,1.0
106,5,38,Object,3.755572957918048,1821.0,4,1.821,-2.0,-2.0,0.0
106,5,39,Solid,4.2599175840150565,2082.0,5,2.082,-1.0,-1.0,0.0
106,5,40,Sea,1.0041726670460775,359.0,2,0.359,-1.0,-1.0,0.0
106,6,41,Land,11.463948999997228,6033.0,16,6.033,5.0,5.0,1.0
106,6,42,Animal,3.057079792022705,1055.0,5,1.055,5.0,3.0,1.0
106,6,43,Object,7.843068792019039,4019.0,10,4.019,1.0,1.0,0.0
106,6,44,Sea,10.158157333964482,4228.0,11,4.228,1.0,-1.0,0.0
106,6,45,Large,1.2549979999894276,88.0,1,0.088,7.0,5.0,1.0
106,6,46,Small,4.847874375060201,1795.0,2,1.795,-1.0,-1.0,0.0
106,6,47,Pattern,0.4887577920453623,229.0,1,0.229,5.0,5.0,1.0
106,7,49,Solid,8.256629499956034,1577.0,4,1.577,3.0,-5.0,1.0
106,7,51,Animal,5.8546184580773115,1911.0,6,1.911,-1.0,-1.0,1.0
106,7,52,Land,2.625955957919359,836.0,3,0.836,-1.0,-11.0,0.0
106,7,54,Pattern,1.5426541669294238,320.0,1,0.32,-3.0,-5.0,0.0
106,7,55,Sea,0.7719101670663804,323.0,1,0.323,1.0,1.0,1.0
106,7,56,Small,2.3637077909661457,429.0,2,0.429,1.0,-9.0,1.0
108,1,1,Solid,4.162718583014794,690.0,2,0.69,-2.0,-2.0,1.0
108,1,2,Small,31.21846983302385,13163.0,17,13.163,1.0,1.0,1.0
108,1,3,Animal,11.440919917076826,8821.0,8,8.821,-2.0,-2.0,0.0
108,1,4,Sea,8.766483458108269,3806.0,7,3.806,3.0,3.0,1.0
108,1,5,Large,20.06888000003528,13278.0,17,13.278,-2.0,-2.0,1.0
108,1,6,Pattern,2.0861965420190245,418.0,1,0.418,1.0,1.0,0.0
108,1,7,Object,6.953980624908581,4737.0,6,4.737,1.0,1.0,0.0
108,1,8,Land,8.064403916941956,5063.0,7,5.063,-4.0,-4.0,0.0
108,2,9,Pattern,39.49294575001113,30665.0,26,30.665,-6.0,-5.0,1.0
108,2,10,Sea,24.572769084014,15690.0,20,15.69,-14.0,-13.0,0.0
108,2,11,Land,8.126673542079516,5642.0,4,5.642,1.0,1.0,1.0
108,2,12,Solid,23.351438875077292,18258.0,16,18.258,-7.0,-7.0,0.0
108,2,13,Large,14.330751167028213,7704.0,8,7.704,-6.0,-5.0,0.0
108,2,14,Animal,4.227787292096764,1855.0,2,1.855,-6.0,-5.0,0.0
108,2,15,Object,1.5534402909688652,211.0,1,0.211,-7.0,-7.0,1.0
108,2,16,Small,3.038086959044449,1769.0,2,1.769,-7.0,-7.0,1.0
108,3,17,Land,20.462851708987728,14882.0,11,14.882,-4.0,-4.0,0.0
108,3,18,Pattern,16.090838625095785,11001.0,10,11.001,2.0,2.0,1.0
108,3,19,Animal,4.992626124992967,3542.0,3,3.542,-4.0,-4.0,0.0
108,3,20,Object,11.15167383395601,4945.0,8,4.945,7.0,7.0,1.0
108,3,21,Sea,10.574085791013204,1746.0,3,1.746,7.0,7.0,1.0
108,3,22,Large,13.171709959045984,7781.0,7,7.781,1.0,1.0,1.0
108,3,23,Small,13.431264540995471,8765.0,14,8.765,2.0,2.0,1.0
108,3,24,Solid,17.56397070805542,13795.0,10,13.795,1.0,1.0,1.0
108,4,25,Large,19.99227895902004,13513.0,21,13.513,2.0,2.0,1.0
108,4,26,Small,10.496484915958716,8113.0,9,8.113,-4.0,-4.0,0.0
108,4,27,Land,21.719300207914785,14928.0,18,14.928,-1.0,-1.0,0.0
108,4,28,Object,8.840685790986754,7203.0,14,7.203,-3.0,-3.0,0.0
108,4,29,Solid,17.951579749933444,15860.0,13,15.86,2.0,2.0,1.0
108,4,30,Animal,8.166923791985027,5486.0,9,5.486,1.0,1.0,1.0
108,4,31,Sea,16.97128237504512,11469.0,15,11.469,-1.0,-1.0,0.0
108,4,32,Pattern,6.2863810419803485,5463.0,4,5.463,-4.0,-4.0,0.0
108,5,33,Small,52.66230141709093,42863.0,28,42.863,2.0,-7.0,0.0
108,5,34,Animal,12.221284125000238,6300.0,9,6.3,-1.0,-10.0,0.0
108,5,35,Sea,13.674698290997185,8605.0,15,8.605,2.0,-7.0,1.0
108,5,36,Pattern,17.609696416999213,9187.0,12,9.187,-1.0,-1.0,0.0
108,5,37,Land,11.02774637506809,6780.0,8,6.78,-1.0,-1.0,0.0
108,5,38,Large,22.29440200002864,13803.0,19,13.803,-1.0,-1.0,1.0
108,5,39,Object,6.7792512079468,4966.0,5,4.966,2.0,2.0,1.0
108,5,40,Solid,10.040977333090268,5604.0,7,5.604,2.0,-7.0,1.0
108,6,41,Small,30.69722933298908,21278.0,21,21.278,4.0,-1.0,0.0
108,6,42,Pattern,7.4935419170651585,5217.0,4,5.217,-4.0,8.0,1.0
108,6,43,Solid,10.306168082985096,7748.0,8,7.748,15.0,-3.0,1.0
108,6,44,Animal,5.335200542001985,2606.0,6,2.606,8.0,4.0,0.0
108,6,45,Sea,7.851003458956256,4123.0,8,4.123,3.0,1.0,1.0
108,6,46,Land,10.818780583911575,7013.0,6,7.013,8.0,4.0,1.0
108,6,47,Large,4.2004309999756515,1038.0,5,1.038,7.0,6.0,0.0
108,6,48,Object,6.400084082968533,4941.0,9,4.941,3.0,1.0,1.0
108,7,49,Pattern,41.96226291696075,35874.0,22,35.874,-4.0,-4.0,1.0
108,7,50,Large,6.2632605829276145,4283.0,6,4.283,4.0,4.0,1.0
108,7,51,Small,12.238361000083389,9283.0,13,9.283,-4.0,-4.0,0.0
108,7,52,Object,23.87651770899538,12485.0,19,12.485,-2.0,-2.0,1.0
108,7,53,Land,2.2686958339763805,1583.0,3,1.583,1.0,1.0,1.0
108,7,54,Animal,6.2246718750102445,4038.0,7,4.038,2.0,2.0,0.0
108,7,55,Solid,4.939910541987047,2770.0,4,2.77,4.0,4.0,1.0
108,7,56,Sea,11.69796449993737,9212.0,7,9.212,-1.0,-1.0,0.0
109,1,1,Large,7.184989625005983,654.0,4,0.654,-3.0,-11.0,0.0
109,1,2,Small,3.065139290993102,223.0,1,0.223,3.0,3.0,1.0
109,1,3,Sea,14.29742104106117,1411.0,5,1.411,1.0,-7.0,1.0
109,1,4,Land,8.078870333964005,4428.0,8,4.428,-1.0,-1.0,1.0
109,1,5,Animal,3.8034982919925824,1565.0,2,1.565,1.0,1.0,0.0
109,1,6,Solid,12.722395790973678,4808.0,7,4.808,-3.0,-9.0,0.0
109,1,7,Object,1.9508719580480829,850.0,1,0.85,-1.0,-9.0,0.0
109,1,8,Pattern,7.442949291085824,2164.0,6,2.164,3.0,1.0,1.0
109,2,9,Object,4.2851203749887645,1970.0,4,1.97,3.0,-6.0,0.0
109,2,10,Small,3.9265500410692766,936.0,1,0.936,3.0,3.0,0.0
109,2,12,Land,4.126011374988593,1253.0,2,1.253,3.0,-6.0,1.0
109,2,13,Animal,1.391632333048619,126.0,1,0.126,6.0,6.0,0.0
109,2,14,Solid,10.768247750005685,1892.0,6,1.892,-4.0,-13.0,0.0
109,2,16,Pattern,15.20643875002861,5834.0,6,5.834,13.0,13.0,1.0
109,3,17,Object,2.6728482090402395,948.0,3,0.948,-7.0,7.0,0.0
109,3,19,Animal,3.3058002500329167,1951.0,1,1.951,-4.0,-15.0,0.0
109,3,20,Small,1.5340486660134047,447.0,2,0.447,-7.0,7.0,1.0
109,3,21,Land,3.256572625017725,935.0,3,0.935,-7.0,7.0,1.0
109,3,22,Large,2.286362042068504,461.0,1,0.461,-4.0,-15.0,0.0
109,3,23,Pattern,8.707925750059076,1611.0,4,1.611,-12.0,-8.0,0.0
109,3,24,Solid,4.014337333035655,2597.0,3,2.597,1.0,0.0,0.0
109,4,25,Large,3.5301697910763323,1692.0,3,1.692,-1.0,-2.0,0.0
109,4,26,Object,2.7104084589518607,287.0,1,0.287,-2.0,6.0,1.0
109,4,27,Small,4.1409542500041425,452.0,1,0.452,1.0,7.0,1.0
109,4,30,Sea,2.275025915936567,376.0,1,0.376,-2.0,1.0,1.0
109,4,31,Solid,1.4896751249907538,1185.0,1,1.185,-3.0,5.0,1.0
109,4,32,Land,0.8805339999962598,197.0,1,0.197,2.0,4.0,1.0
109,5,40,Object,3.1291765000205487,128.0,1,0.128,-1.0,10.0,0.0
109,6,41,Small,1.2017694159876555,169.0,1,0.169,2.0,3.0,0.0
109,6,42,Animal,1.017474666936323,632.0,2,0.632,-4.0,-1.0,0.0
109,6,43,Large,0.409394041984342,103.0,1,0.103,-4.0,-1.0,1.0
109,7,49,Small,1.50978279102128,313.0,1,0.313,1.0,-2.0,0.0
109,7,50,Large,0.3709533750079572,130.0,1,0.13,3.0,8.0,1.0
109,7,51,Land,1.2297452091006562,383.0,1,0.383,-2.0,-5.0,1.0
109,7,53,Sea,1.5363200419815255,324.0,2,0.324,6.0,11.0,1.0
109,7,54,Pattern,0.8200126660522074,141.0,1,0.141,3.0,0.0,1.0
109,7,55,Solid,2.8994827090064064,1986.0,2,1.986,1.0,6.0,1.0
109,7,56,Animal,0.7675502080237493,621.0,1,0.621,1.0,-2.0,0.0
110,1,1,Animal,19.697509375051595,6841.0,19,6.841,-1.0,-3.0,1.0
110,1,2,Small,11.338163750013337,4659.0,16,4.659,-4.0,-3.0,0.0
110,1,3,Sea,11.399151834077202,4162.0,17,4.162,2.0,3.0,1.0
110,1,4,Large,12.0012861660216,4906.0,19,4.906,4.0,2.0,1.0
110,1,5,Object,26.274777084006928,10726.0,35,10.726,1.0,2.0,0.0
110,1,6,Solid,6.892309791990556,2042.0,10,2.042,2.0,3.0,1.0
110,1,8,Land,7.6413620410021394,2915.0,11,2.915,-2.0,-4.0,1.0
110,2,11,Small,32.623763040988706,10275.0,47,10.275,-3.0,-3.0,0.0
110,2,12,Pattern,60.9457821669057,22798.0,76,22.798,-3.0,-3.0,0.0
