combo,rep,seed_fit,seed_sim,noise_param,d_true,theta_true,sigma_true,mu_true,d_hat,theta_hat,sigma_hat,mu_hat,d_true_per_s,sigma_true_per_s,d_hat_per_s,sigma_hat_per_s,fit_fval,elapsed_s,hit_d_min,hit_d_max,hit_theta_min,hit_theta_max,hit_sigma_min,hit_sigma_max
41,1,410224,411223,mu,1.3898681833918547e-05,0.3983943987944529,6.001052437121645e-05,4.317713369390605,1.4043161640318285e-05,0.3857186957450061,0.0001491618801198,10.621673661552943,0.0138986818339185,0.0018976994059408,0.0140431616403182,0.0047169128125187,3733.163201656022,4570.775574684143,0,0,0,0,0,0
47,1,470224,471223,mu,1.0689292312591298e-05,0.8790818663083003,0.0006591627478519,61.66570513517949,1.1403922837863503e-05,0.7799534699573686,0.0005847107529275,51.27277352194515,0.0106892923125912,0.0208445563194756,0.0114039228378635,0.018490177516429,3817.647490326959,3704.683429002762,1,0,0,0,0,0
76,1,760224,761223,mu,9.47911216856008e-05,0.3983379102747223,0.0010731102543511,11.320788648439152,5.499088411331133e-05,0.901859735224001,0.0054980863575685,99.98177782047368,0.0947911216856008,0.0339347258423229,0.0549908841133113,0.1738647566221543,4482.208321517753,653.4449348449707,0,0,0,0,0,1
82,1,820224,821223,mu,0.0003258051465303,0.3871917150269903,0.0009578559581037,2.9399657074311936,0.0003272626312589,0.4081185514920136,0.0003476345374887,1.0622494115855847,0.3258051465303261,0.0302900649797068,0.3272626312589724,0.0109931693180377,4239.636284224608,226.7168688774109,0,0,0,0,1,0
73,1,730224,731223,mu,6.564202345609636e-05,0.7318490193426799,0.0031185375085089,47.50824767909146,7.906610960499284e-05,0.5737506339223714,0.0001840281287157,2.327522242274087,0.0656420234560963,0.0986168149555503,0.0790661096049928,0.0058194804028025,4737.019903144299,1004.8605849742888,0,0,0,0,0,0
86,1,860224,861223,mu,0.0004804457150024,0.6080177411524759,0.0327033813775903,68.06883765717538,0.0003826396784091,0.9899999964666236,0.0332591509312691,86.92028769610333,0.4804457150024951,1.034171723423207,0.3826396784091659,1.0517466998612082,3677.775679217131,89.55334901809692,0,0,0,1,0,0
51,1,510224,511223,mu,1.8004482614256517e-05,0.5362897431223541,7.724114968056806e-05,4.290106599309112,1.662453749554996e-05,0.5927469416298623,0.0005715973746446,34.38275349299942,0.0180044826142565,0.0024425796208058,0.0166245374955499,0.0180754960844957,4108.510002594683,3732.25204873085,0,0,0,0,0,0
87,1,870224,871223,mu,0.0007960708554995,0.8420818135409683,0.001694515847959,2.1285992776306424,0.0007946473584137,0.8156561761564558,0.0010412942883626,1.3103853896164084,0.7960708554995131,0.0535852961080224,0.7946473584137834,0.0329286166575028,4739.08328152146,182.3060290813446,0,0,0,0,0,0
84,1,840224,841223,mu,9.54939978250139e-05,0.831351930603002,0.0008191008260013,8.57751109658561,0.0001001148056906,0.7999087438287673,0.0001120834365711,1.1195490596809192,0.0954939978250139,0.0259022424348962,0.1001148056906866,0.0035443894754383,4706.855557098594,545.9692809581757,0,0,0,0,1,0
75,1,750224,751223,mu,1.3826152620588616e-05,0.3625657832069366,0.0003649406821257,26.39495542543847,1.426057137950862e-05,0.3413162171971274,2.4242057621255375e-05,1.6999359265568708,0.0138261526205886,0.0115404376637285,0.0142605713795086,0.0007666011725221,3720.042323594369,1271.155648946762,0,0,0,0,0,0
79,1,790224,791223,mu,7.238701045510089e-05,0.4655241902949442,0.0007439315351883,10.277141306309206,5.933151448232005e-05,0.5970208031464392,0.0034391023397707,57.96417586467588,0.0723870104551008,0.0235251807442089,0.05933151448232,0.1087539650008988,4661.181722152885,1040.699693918228,0,0,0,0,0,0
89,1,890224,891223,mu,0.0006245059462157,0.6205070347152457,0.0019783389538871,3.16784646467333,0.0006210039023306,0.6451695283874296,0.0019760771013793,3.182068734130566,0.6245059462157732,0.0625605707811809,0.621003902330624,0.062489044724622,4503.264000382166,208.71970200538635,0,0,0,0,0,0
91,1,910224,911223,mu,0.0004209439005743,0.0864488756636143,0.0043247592212857,10.27395625731689,0.0004370204420712,0.1029928732722529,0.0004531856877673,1.036989678605242,0.4209439005743973,0.1367608947107899,0.4370204420712021,0.0143309897633469,3768.578614894646,138.5189778804779,0,0,0,0,1,0
88,1,880224,881223,mu,4.342593294942005e-05,0.9696235094765044,0.0003186442413238,7.337648720062851,4.264971481873387e-05,0.9899125023208672,0.0002476646652304,5.806947743567015,0.04342593294942,0.010076415658797,0.0426497148187338,0.0078318443807124,4715.997405170172,416.7367088794708,0,0,0,1,0,0
93,1,930224,931223,mu,0.0002044421097469,0.1041827086218431,0.0170853677003139,83.57068767028963,0.0001947917660507,0.0186173356416901,0.0164887554065459,84.64811290971349,0.204442109746908,0.5402867659446512,0.1947917660507446,0.5214202286610077,3573.201280073749,165.17647099494934,0,0,0,0,0,0
92,1,920224,921223,mu,0.0003959927147713,0.7703386601344396,0.0062063058233482,15.672777785649458,0.0003923229977795,0.801022110309722,0.0061514771737658,15.679624209085988,0.3959927147713993,0.1962606225734696,0.3923229977795747,0.1945267884363533,4664.725700409562,221.14317989349365,0,0,0,0,0,0
83,1,830224,831223,mu,1.4293939526557051e-05,0.4799390814989537,6.8709118246483e-05,4.806870640443573,1.0002788092016447e-05,0.8888848469415342,0.0010001702913213,99.98915123671004,0.014293939526557,0.0021727730968072,0.0100027880920164,0.0316281616860974,3788.928275690877,1159.927516937256,1,0,0,0,0,1
80,1,800224,801223,mu,4.0327775376909945e-05,0.7959337543760145,8.466352831764334e-05,2.0993850398729967,4.03727695620981e-05,0.7881967548553018,0.0001581473453787,3.917178511509758,0.0403277753769099,0.0026772958422991,0.0403727695620981,0.0050010581730626,4731.366697896836,1438.8385968208313,0,0,0,0,0,0
