subject_id,fixation_position,prop_relevant,group
H140,21,0.4117647058823529,human
H140,22,0.5333333333333333,human
H140,23,0.46153846153846156,human
H140,24,0.6666666666666666,human
H140,25,0.36363636363636365,human
H140,26,0.6,human
H140,27,0.5555555555555556,human
H140,28,0.5,human
H140,29,0.7142857142857143,human
H140,30,0.5714285714285714,human
H140,31,0.5,human
H140,32,0.3333333333333333,human
H140,33,0.25,human
H140,34,0.5,human
H140,35,0.25,human
H140,36,0.5,human
H140,37,0.3333333333333333,human
H140,38,0.5,human
H140,39,0.0,human
H140,40,1.0,human
H140,41,1.0,human
H140,42,0.5,human
H140,43,0.5,human
H140,44,0.5,human
H140,45,0.5,human
H140,46,0.0,human
H140,47,0.5,human
H141,1,0.6037735849056604,human
H141,2,0.5625,human
H141,3,0.5227272727272727,human
H141,4,0.5882352941176471,human
H141,5,0.5357142857142857,human
H141,6,0.43478260869565216,human
H141,7,0.42105263157894735,human
H141,8,0.5294117647058824,human
H141,9,0.4666666666666667,human
H141,10,0.46153846153846156,human
H141,11,0.5,human
H141,12,0.5833333333333334,human
H141,13,0.6,human
H141,14,0.7,human
H141,15,0.6,human
H141,16,0.3333333333333333,human
H141,17,0.5,human
H141,18,0.4,human
H141,19,0.5,human
H141,20,0.3333333333333333,human
H141,21,0.5,human
H141,22,1.0,human
H141,23,1.0,human
H141,24,0.0,human
H141,25,1.0,human
H141,26,0.0,human
H142,1,0.5945945945945946,human
H142,2,0.47368421052631576,human
H142,3,0.45454545454545453,human
H142,4,0.5714285714285714,human
H142,5,0.3333333333333333,human
H142,6,0.6666666666666666,human
H142,7,0.3333333333333333,human
H142,8,0.8,human
H142,9,0.5,human
H142,10,1.0,human
H142,11,0.0,human
H142,12,0.0,human
H142,13,0.0,human
H142,14,0.0,human
H142,15,0.0,human
H142,16,0.0,human
H142,17,1.0,human
H142,18,0.0,human
H144,1,0.5892857142857143,human
H144,2,0.5294117647058824,human
H144,3,0.5609756097560976,human
H144,4,0.6285714285714286,human
H144,5,0.5217391304347826,human
H144,6,0.6666666666666666,human
H144,7,0.38461538461538464,human
H144,8,0.5,human
H144,9,0.0,human
H144,10,0.8333333333333334,human
H144,11,0.2,human
H144,12,0.8,human
H144,13,0.5,human
H144,14,0.5,human
H144,15,0.5,human
H144,16,0.25,human
H144,17,0.5,human
H144,18,0.5,human
H144,19,0.5,human
H144,20,1.0,human
H144,21,0.5,human
H144,22,1.0,human
H144,23,0.0,human
H144,24,1.0,human
H144,25,0.0,human
H144,26,1.0,human
H144,27,0.0,human
H146,1,0.7291666666666666,human
H146,2,0.5833333333333334,human
H146,3,0.6875,human
H146,4,0.5833333333333334,human
H146,5,0.6458333333333334,human
H146,6,0.7291666666666666,human
H146,7,0.6382978723404256,human
H146,8,0.6086956521739131,human
H146,9,0.5777777777777777,human
H146,10,0.6666666666666666,human
H146,11,0.6363636363636364,human
H146,12,0.5714285714285714,human
H146,13,0.6,human
H146,14,0.4166666666666667,human
H146,15,0.8064516129032258,human
H146,16,0.4827586206896552,human
