thisRow.t,notes,phase,event,onset,offset,trial_number,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,
,,n-back,,,,133,5,,,,1,None,C,False,None,,,,,
,,n-back,,,,134,5,,,,1,None,N,False,None,,,,,
,,n-back,,,,135,5,,,,0,None,C,True,None,,,,,
,,n-back,,,,136,5,,,,1,1.020059583359398,N,True,1,,,,,
,,n-back,,,,137,5,,,,0,None,C,True,None,,,,,
,,n-back,,,,138,5,,,,1,None,C,False,None,,,,,
,,n-back,,,,139,5,,,,1,None,X,False,None,,,,,
,,n-back,,,,140,5,,,,1,0.566970833344385,C,True,1,,,,,
,,n-back,,,,141,5,,,,1,None,V,False,None,,,,,
,,n-back,,,,142,5,,,,1,None,Z,False,None,,,,,
,,n-back,,,,143,5,,,,1,None,N,False,None,,,,,
,,n-back,,,,144,5,,,,0,None,Z,True,None,,,,,
,,n-back,,,,145,5,,,,1,None,B,False,None,,,,,
,,n-back,,,,146,5,,,,1,None,C,False,None,,,,,
,,n-back,,,,147,5,,,,0,0.684894833364524,C,False,1,,,,,
,,n-back,,,,148,5,,,,0,None,C,True,None,,,,,
,,n-back,,,,149,5,,,,1,None,Z,False,None,,,,,
,,n-back,,,,150,5,,,,1,0.8776170833734795,C,True,1,,,,,
,,choice,fixation,150.31840629165526,151.3201829167083,33,5,,,,,,,,,Solid,,,,
,,choice,option,151.32617408328224,152.35257162502967,33,5,,,,,,,,,Solid,,,,
,,choice,choice,152.35273770825006,158.82355970831122,33,5,,,1,1,5.46325174998492,,,,Solid,,,,
,,choice,fixation,158.82369049999397,160.0770489166025,34,5,,,,,,,,,Large,,,,
,,choice,option,160.08256150002126,161.10794225009158,34,5,,,,,,,,,Large,,,,
,,choice,choice,161.10804633330554,166.68857637501787,34,5,,,1,0,4.570832375087775,,,,Large,,,,
,,choice,fixation,166.6886919583194,167.19231604167726,35,5,,,,,,,,,Pattern,,,,
,,choice,option,167.19842045824043,168.2228376250714,35,5,,,,,,,,,Pattern,,,,
,,choice,choice,168.22294408327434,173.20811075007077,35,5,,,2,1,3.9773107083747163,,,,Pattern,,,,
,,choice,fixation,173.20821637508925,173.71389179164544,36,5,,,,,,,,,Object,,,,
,,choice,option,173.72018604166806,174.7440091666067,36,5,,,,,,,,,Object,,,,
,,choice,choice,174.74412091670092,179.2182193333283,36,5,,,1,0,3.4665323750814423,,,,Object,,,,
,,choice,fixation,179.218350208248,179.72161558328662,37,5,,,,,,,,,Sea,,,,
,,choice,option,179.72714941669255,180.75079425005242,37,5,,,,,,,,,Sea,,,,
,,choice,choice,180.75089437502902,182.0169382916065,37,5,,,2,1,0.2583879582816735,,,,Sea,,,,
,,choice,fixation,182.0170845000539,183.27129466668703,38,5,,,,,,,,,Animal,,,,
,,choice,option,183.27743837505113,184.30221629166044,38,5,,,,,,,,,Animal,,,,
,,choice,choice,184.30233941669576,185.75311129167676,38,5,,,2,1,0.4434929999988526,,,,Animal,,,,
,,choice,fixation,185.75321666663513,187.00661079166457,39,5,,,,,,,,,Small,,,,
