subject_id,fixation_position,valence_diff,prop_positive,prop_negative,group,decision
H115,15,0.0,0.2,0.2,human,take
H115,16,-0.4,0.0,0.4,human,take
H115,17,0.5,0.5,0.0,human,take
H115,18,0.0,0.0,0.0,human,take
H115,19,1.0,1.0,0.0,human,take
H115,20,0.0,0.0,0.0,human,take
H116,1,-0.041666666666666685,0.3333333333333333,0.375,human,take
H116,2,0.25,0.375,0.125,human,take
H116,3,0.16666666666666666,0.3333333333333333,0.16666666666666666,human,take
H116,4,0.3333333333333333,0.4583333333333333,0.125,human,take
H116,5,0.0,0.20833333333333334,0.20833333333333334,human,take
H116,6,0.24999999999999997,0.4583333333333333,0.20833333333333334,human,take
H116,7,0.30434782608695654,0.43478260869565216,0.13043478260869565,human,take
H116,8,0.34782608695652173,0.5217391304347826,0.17391304347826086,human,take
H116,9,0.13043478260869568,0.30434782608695654,0.17391304347826086,human,take
H116,10,0.23809523809523808,0.42857142857142855,0.19047619047619047,human,take
H116,11,0.15,0.3,0.15,human,take
H116,12,-0.2222222222222222,0.1111111111111111,0.3333333333333333,human,take
H116,13,0.055555555555555525,0.3333333333333333,0.2777777777777778,human,take
H116,14,0.0,0.29411764705882354,0.29411764705882354,human,take
H116,15,0.1333333333333333,0.3333333333333333,0.2,human,take
H116,16,0.26666666666666666,0.3333333333333333,0.06666666666666667,human,take
H116,17,0.1333333333333333,0.3333333333333333,0.2,human,take
H116,18,0.1333333333333333,0.3333333333333333,0.2,human,take
H116,19,0.3571428571428571,0.42857142857142855,0.07142857142857142,human,take
H116,20,0.0,0.3076923076923077,0.3076923076923077,human,take
H116,21,0.4615384615384615,0.5384615384615384,0.07692307692307693,human,take
H116,22,-0.5,0.08333333333333333,0.5833333333333334,human,take
H116,23,0.33333333333333337,0.4166666666666667,0.08333333333333333,human,take
H116,24,-0.08333333333333331,0.25,0.3333333333333333,human,take
H116,25,-0.18181818181818182,0.18181818181818182,0.36363636363636365,human,take
H116,26,-0.36363636363636365,0.09090909090909091,0.45454545454545453,human,take
H116,27,0.2727272727272727,0.36363636363636365,0.09090909090909091,human,take
H116,28,0.18181818181818182,0.45454545454545453,0.2727272727272727,human,take
H116,29,0.09090909090909088,0.2727272727272727,0.18181818181818182,human,take
H116,30,0.2,0.4,0.2,human,take
H116,31,0.0,0.2,0.2,human,take
H116,32,0.2222222222222222,0.4444444444444444,0.2222222222222222,human,take
H116,33,0.0,0.3333333333333333,0.3333333333333333,human,take
H116,34,0.25,0.25,0.0,human,take
H116,35,0.125,0.5,0.375,human,take
H116,36,0.0,0.125,0.125,human,take
H116,37,-0.14285714285714285,0.2857142857142857,0.42857142857142855,human,take
H116,38,0.2857142857142857,0.42857142857142855,0.14285714285714285,human,take
H116,39,0.14285714285714285,0.14285714285714285,0.0,human,take
H116,40,0.33333333333333337,0.5,0.16666666666666666,human,take
H116,41,0.16666666666666666,0.3333333333333333,0.16666666666666666,human,take
H116,42,0.33333333333333337,0.5,0.16666666666666666,human,take
H116,43,0.16666666666666666,0.16666666666666666,0.0,human,take
H116,44,0.3333333333333333,0.6666666666666666,0.3333333333333333,human,take
H116,45,0.33333333333333337,0.5,0.16666666666666666,human,take
H116,46,0.0,0.16666666666666666,0.16666666666666666,human,take
H116,47,-0.3333333333333333,0.0,0.3333333333333333,human,take
H116,48,0.0,0.3333333333333333,0.3333333333333333,human,take
H116,49,0.16666666666666666,0.3333333333333333,0.16666666666666666,human,take
H116,50,0.0,0.0,0.0,human,take
H116,51,-0.75,0.0,0.75,human,take
H116,52,0.0,0.0,0.0,human,take
H116,53,-0.5,0.25,0.75,human,take
H116,54,0.0,0.0,0.0,human,take
H116,55,-0.25,0.25,0.5,human,take
H116,56,0.25,0.5,0.25,human,take
H116,57,-0.5,0.0,0.5,human,take
H116,58,0.75,0.75,0.0,human,take
H116,59,-0.3333333333333333,0.0,0.3333333333333333,human,take
H116,60,0.0,0.5,0.5,human,take
H116,61,1.0,1.0,0.0,human,take
H116,62,0.0,0.0,0.0,human,take
H116,63,0.0,0.0,0.0,human,take
H116,64,1.0,1.0,0.0,human,take
H116,65,0.0,0.0,0.0,human,take
H116,66,-1.0,0.0,1.0,human,take
H116,67,0.0,0.0,0.0,human,take
H116,68,1.0,1.0,0.0,human,take
H116,69,0.0,0.0,0.0,human,take
H116,70,0.0,0.0,0.0,human,take
H116,71,1.0,1.0,0.0,human,take
H116,72,-1.0,0.0,1.0,human,take
H116,73,0.0,0.0,0.0,human,take
H116,74,1.0,1.0,0.0,human,take
H116,75,-1.0,0.0,1.0,human,take
H116,76,1.0,1.0,0.0,human,take
H116,77,0.0,0.0,0.0,human,take
H116,78,0.0,0.0,0.0,human,take
H116,79,-1.0,0.0,1.0,human,take
H117,1,0.20833333333333334,0.375,0.16666666666666666,human,take
H117,2,0.14999999999999997,0.35,0.2,human,take
H117,3,0.0,0.21428571428571427,0.21428571428571427,human,take
H117,4,0.2,0.4,0.2,human,take
H117,5,0.09999999999999998,0.3,0.2,human,take
H117,6,0.5,0.5,0.0,human,take
H117,7,0.0,0.2,0.2,human,take
H117,8,0.25,0.25,0.0,human,take
H117,9,-0.3333333333333333,0.0,0.3333333333333333,human,take
H117,10,0.6666666666666666,0.6666666666666666,0.0,human,take
H117,11,0.0,0.0,0.0,human,take
H117,12,0.0,0.5,0.5,human,take
H117,13,0.0,0.0,0.0,human,take
H117,14,0.0,0.5,0.5,human,take
H117,15,0.0,0.0,0.0,human,take
H117,16,0.0,0.5,0.5,human,take
H117,17,0.0,0.0,0.0,human,take
H117,18,1.0,1.0,0.0,human,take
H117,19,0.0,0.0,0.0,human,take
H117,20,1.0,1.0,0.0,human,take
H117,21,0.0,0.0,0.0,human,take
H117,22,1.0,1.0,0.0,human,take
H117,23,0.0,0.0,0.0,human,take
H117,24,1.0,1.0,0.0,human,take
H117,25,0.0,0.0,0.0,human,take
H117,26,1.0,1.0,0.0,human,take
H117,27,0.0,0.0,0.0,human,take
H117,28,1.0,1.0,0.0,human,take
H117,29,-1.0,0.0,1.0,human,take
H117,30,1.0,1.0,0.0,human,take
H117,31,0.0,0.0,0.0,human,take
H117,32,1.0,1.0,0.0,human,take
H117,33,0.0,0.0,0.0,human,take
H117,34,1.0,1.0,0.0,human,take
H117,35,0.0,0.0,0.0,human,take
H118,1,-0.05263157894736842,0.2631578947368421,0.3157894736842105,human,take
H118,2,0.0,0.29411764705882354,0.29411764705882354,human,take
H118,3,0.1875,0.4375,0.25,human,take
H118,4,-0.25,0.0625,0.3125,human,take
H118,5,0.15384615384615385,0.23076923076923078,0.07692307692307693,human,take
H118,6,-0.2222222222222222,0.1111111111111111,0.3333333333333333,human,take
H118,7,0.1111111111111111,0.3333333333333333,0.2222222222222222,human,take
H118,8,-0.14285714285714285,0.14285714285714285,0.2857142857142857,human,take
H118,9,-0.16666666666666666,0.16666666666666666,0.3333333333333333,human,take
H118,10,0.0,0.16666666666666666,0.16666666666666666,human,take
H118,11,-0.16666666666666666,0.16666666666666666,0.3333333333333333,human,take
H118,12,0.3333333333333333,0.6666666666666666,0.3333333333333333,human,take
H118,13,0.0,0.0,0.0,human,take
H118,14,0.5,0.5,0.0,human,take
H118,15,-1.0,0.0,1.0,human,take
H118,16,1.0,1.0,0.0,human,take
H118,17,1.0,1.0,0.0,human,take
H118,18,0.0,0.0,0.0,human,take
H118,19,-1.0,0.0,1.0,human,take
H118,20,0.0,0.0,0.0,human,take
H118,21,1.0,1.0,0.0,human,take
H118,22,0.0,0.0,0.0,human,take
H118,23,1.0,1.0,0.0,human,take
H118,24,0.0,0.0,0.0,human,take
H118,25,1.0,1.0,0.0,human,take
H118,26,0.0,0.0,0.0,human,take
H118,27,1.0,1.0,0.0,human,take
H119,1,0.10344827586206895,0.27586206896551724,0.1724137931034483,human,take
H119,2,0.2916666666666667,0.4166666666666667,0.125,human,take
H119,3,0.0,0.2631578947368421,0.2631578947368421,human,take
H119,4,0.25,0.25,0.0,human,take
H119,5,-0.14285714285714285,0.14285714285714285,0.2857142857142857,human,take
