phase,event,trial_number,eyetracker_onset,eyetracker_offset,fix_start,fix_end,fix_duration_full,fix_duration_bounded,fix_x,fix_y,roi_x,roi_y,roi_content,thisRow.t,notes,onset,offset,game,image,outcome,choice,correct,rt,letter,match,response,option,true_value,true_position,recalled_position,Unnamed: 20
encoding,attention,4,25465450,25468461,25465724.0,25465884.0,161.0,161.0,1928.1,1384.3,1920.0,700.0,Object_Sea_Solid_Large,,,53.70566679164767,56.715655916632386,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,attention,4,25465450,25468461,25465894.0,25466112.0,219.0,219.0,1882.0,1369.1,1920.0,700.0,Object_Sea_Solid_Large,,,53.70566679164767,56.715655916632386,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,attention,4,25465450,25468461,25466127.0,25466305.0,179.0,179.0,1967.6,1372.6,1920.0,700.0,Object_Sea_Solid_Large,,,53.70566679164767,56.715655916632386,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,attention,4,25465450,25468461,25466322.0,25466648.0,327.0,327.0,1920.1,1449.2,1920.0,700.0,Object_Sea_Solid_Large,,,53.70566679164767,56.715655916632386,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,attention,4,25465450,25468461,25466656.0,25467060.0,405.0,405.0,1925.3,1476.2,1920.0,700.0,Object_Sea_Solid_Large,,,53.70566679164767,56.715655916632386,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,attention,4,25465450,25468461,25467268.0,25467332.0,65.0,65.0,1937.3,1534.3,1920.0,700.0,Object_Sea_Solid_Large,,,53.70566679164767,56.715655916632386,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,attention,4,25465450,25468461,25467545.0,25467772.0,228.0,228.0,2309.0,723.2,2249.0,1269.0,Animal_Land_Pattern_Small,,,53.70566679164767,56.715655916632386,1.0,Object_Sea_Solid_Large,-2.0,,,,,,,,,,,
encoding,fixation,5,25468461,25469465,25468968.0,25469666.0,699.0,497.0,2274.8,938.9000000000001,2249.0,1269.0,Animal_Land_Pattern_Small,,,56.715772249997826,57.719580416654935,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,image,5,25469465,25470475,25469711.0,25470952.0,1242.0,764.0,1876.4,730.9000000000001,1920.0,1460.0,Animal_Sea_Solid_Large,,,57.719690916652326,58.72983962498256,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,value,5,25470475,25476484,25470968.0,25472135.0,1168.0,1168.0,1891.3,639.5,1920.0,1460.0,Animal_Sea_Solid_Large,,,58.72994699998526,64.73896099999547,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,value,5,25470475,25476484,25472353.0,25472976.0,624.0,624.0,1855.6,687.0,1920.0,1460.0,Animal_Sea_Solid_Large,,,58.72994699998526,64.73896099999547,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,value,5,25470475,25476484,25472989.0,25473340.0,352.0,352.0,1912.2,638.0,1920.0,1460.0,Animal_Sea_Solid_Large,,,58.72994699998526,64.73896099999547,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,value,5,25470475,25476484,25473365.0,25473662.0,298.0,298.0,2093.5,761.3,1920.0,1460.0,Animal_Sea_Solid_Large,,,58.72994699998526,64.73896099999547,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,value,5,25470475,25476484,25473684.0,25474524.0,841.0,841.0,1858.5,695.3,1920.0,1460.0,Animal_Sea_Solid_Large,,,58.72994699998526,64.73896099999547,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,value,5,25470475,25476484,25474537.0,25474901.0,365.0,365.0,1895.7,647.9000000000001,1920.0,1460.0,Animal_Sea_Solid_Large,,,58.72994699998526,64.73896099999547,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,value,5,25470475,25476484,25474914.0,25475645.0,732.0,732.0,1874.5,714.4000000000001,1920.0,1460.0,Animal_Sea_Solid_Large,,,58.72994699998526,64.73896099999547,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,value,5,25470475,25476484,25475874.0,25476147.0,274.0,274.0,1849.8,750.8,1920.0,1460.0,Animal_Sea_Solid_Large,,,58.72994699998526,64.73896099999547,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,value,5,25470475,25476484,25476155.0,25476690.0,536.0,329.0,1878.4,768.7,1920.0,1460.0,Animal_Sea_Solid_Large,,,58.72994699998526,64.73896099999547,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,attention,5,25476484,25479495,25476708.0,25476904.0,197.0,197.0,1866.1,683.9000000000001,1920.0,1460.0,Animal_Sea_Solid_Large,,,64.73907108334242,67.74984641664196,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,attention,5,25476484,25479495,25476914.0,25477148.0,235.0,235.0,1918.1,651.2,1920.0,1460.0,Animal_Sea_Solid_Large,,,64.73907108334242,67.74984641664196,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,attention,5,25476484,25479495,25477170.0,25477834.0,665.0,665.0,1865.4,759.4000000000001,1920.0,1460.0,Animal_Sea_Solid_Large,,,64.73907108334242,67.74984641664196,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,attention,5,25476484,25479495,25477853.0,25478013.0,161.0,161.0,1916.3,652.5999999999999,1920.0,1460.0,Animal_Sea_Solid_Large,,,64.73907108334242,67.74984641664196,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
encoding,attention,5,25476484,25479495,25478027.0,25478729.0,703.0,703.0,1831.5,627.5,1920.0,1460.0,Animal_Sea_Solid_Large,,,64.73907108334242,67.74984641664196,1.0,Animal_Sea_Solid_Large,3.0,,,,,,,,,,,
