subject,game,trial_number,decision_label,feature_dim,option,choice,correct,prop_relevant,chance_relevant,delta_relevant
108,2,15,take,animacy,Object,1.0,0.0,1.0,0.4999999999999999,0.5000000000000001
108,2,16,take,size,Small,1.0,0.0,0.3357829282080271,0.4999999999999999,-0.1642170717919728
108,3,17,leave,environment,Land,0.0,1.0,0.645544953635264,0.4999999999999999,0.1455449536352641
108,3,18,take,texture,Pattern,1.0,1.0,0.6656667575674937,0.4999999999999999,0.165666757567494
108,3,19,leave,animacy,Animal,0.0,1.0,0.8280632411067192,0.4999999999999999,0.32806324110671947
108,3,20,take,animacy,Object,1.0,1.0,0.7971688574317491,0.4999999999999999,0.2971688574317492
108,3,21,take,environment,Sea,1.0,1.0,0.5343642611683849,0.4999999999999999,0.03436426116838487
108,3,22,take,size,Large,1.0,1.0,0.889474360622028,0.4999999999999999,0.389474360622028
108,3,23,take,size,Small,1.0,1.0,0.6213348545350827,0.4999999999999999,0.1213348545350826
108,3,24,take,texture,Solid,1.0,1.0,0.582674882203697,0.4999999999999999,0.082674882203697
108,4,25,take,size,Large,1.0,1.0,0.6877821357211573,0.4999999999999999,0.1877821357211573
108,4,26,leave,size,Small,0.0,1.0,0.5852335757426352,0.4999999999999999,0.08523357574263539
108,4,27,leave,environment,Land,0.0,1.0,0.4462084673097535,0.4999999999999999,-0.0537915326902465
108,4,28,leave,animacy,Object,0.0,1.0,0.6136332083853949,0.4999999999999999,0.113633208385395
108,4,29,take,texture,Solid,1.0,1.0,0.39621689785624215,0.4999999999999999,-0.1037831021437578
108,4,30,take,animacy,Animal,1.0,1.0,0.4163324826831935,0.4999999999999999,-0.0836675173168065
108,4,31,leave,environment,Sea,0.0,1.0,0.5393669892754381,0.4999999999999999,0.03936698927543811
108,4,32,leave,texture,Pattern,0.0,1.0,0.6018671059857221,0.4999999999999999,0.1018671059857221
108,5,33,leave,size,Small,0.0,0.0,0.673377971677204,0.4999999999999999,0.17337797167720423
108,5,34,leave,animacy,Animal,0.0,1.0,0.7361904761904762,0.4999999999999999,0.23619047619047617
108,5,35,take,environment,Sea,1.0,1.0,0.4648460197559558,0.4999999999999999,-0.035153980244044106
108,5,36,leave,texture,Pattern,0.0,1.0,0.36366604985305306,0.4999999999999999,-0.13633395014694683
108,5,37,leave,environment,Land,0.0,1.0,0.7997050147492626,0.4999999999999999,0.2997050147492625
108,5,38,take,size,Large,1.0,0.0,0.3497790335434324,0.4999999999999999,-0.1502209664565673
108,5,39,take,animacy,Object,1.0,1.0,0.2871526379379782,0.4999999999999999,-0.2128473620620216
108,5,40,take,texture,Solid,1.0,1.0,0.8886509635974305,0.4999999999999999,0.3886509635974304
108,6,41,leave,size,Small,0.0,0.0,0.36300404173324563,0.4999999999999999,-0.1369959582667544
108,6,42,take,texture,Pattern,1.0,0.0,0.7283879624305156,0.4999999999999999,0.22838796243051562
108,6,43,take,texture,Solid,1.0,1.0,0.615900877645844,0.4999999999999999,0.115900877645844
108,6,44,leave,animacy,Animal,0.0,0.0,0.7125863392171911,0.4999999999999999,0.212586339217191
108,6,45,take,environment,Sea,1.0,1.0,0.6371574096531651,0.4999999999999999,0.13715740965316509
108,6,46,take,environment,Land,1.0,1.0,0.894196492228718,0.4999999999999999,0.394196492228718
108,6,47,leave,size,Large,0.0,0.0,0.3516377649325626,0.4999999999999999,-0.1483622350674374
108,6,48,take,animacy,Object,1.0,1.0,0.7144302772718073,0.4999999999999999,0.2144302772718074
108,7,49,take,texture,Pattern,1.0,0.0,0.6741372581814127,0.4999999999999999,0.17413725818141282
108,7,50,take,size,Large,1.0,1.0,0.5117908008405323,0.4999999999999999,0.011790800840532401
108,7,51,leave,size,Small,0.0,1.0,0.6640094796940644,0.4999999999999999,0.1640094796940643
108,7,52,take,animacy,Object,1.0,0.0,0.5110933119743691,0.4999999999999999,0.011093311974369295
108,7,53,take,environment,Land,1.0,1.0,0.5521162349968414,0.4999999999999999,0.0521162349968414
108,7,54,leave,animacy,Animal,0.0,0.0,0.6280336800396236,0.4999999999999999,0.12803368003962368
108,7,55,take,texture,Solid,1.0,1.0,0.4729241877256318,0.4999999999999999,-0.02707581227436809
