seed,statistic,location,decoder,r2,shuffle,shuffle_iter
8,rho,1,MLP,-0.0477805478301454,True,0
8,rho,1,Ridge,-0.0005106999373156506,True,1
8,rho,1,MLP,-0.04506246971685357,True,1
8,rho,1,Ridge,-0.0007326289603074798,True,2
8,rho,1,MLP,-0.04992366293770427,True,2
8,rho,1,Ridge,-0.000872107728005389,True,3
8,rho,1,MLP,-0.049388988557493005,True,3
8,rho,1,Ridge,-0.0008541036627541132,True,4
8,rho,1,MLP,-0.04845895701866261,True,4
8,rho,1,Ridge,-0.000828588744994585,True,5
8,rho,1,MLP,-0.05046588140155452,True,5
8,rho,1,Ridge,-0.0009266462825274546,True,6
8,rho,1,MLP,-0.05045696719525923,True,6
8,rho,1,Ridge,-0.0010227661917563858,True,7
8,rho,1,MLP,-0.04790270705475082,True,7
8,rho,1,Ridge,-0.000745389499387561,True,8
8,rho,1,MLP,-0.045116382291123934,True,8
8,rho,1,Ridge,-0.0008269018092876169,True,9
8,rho,1,MLP,-0.04817401208890004,True,9
8,rho,2,Ridge,0.7831892255069806,False,-1
8,rho,2,MLP,0.9714995355015208,False,-1
8,rho,2,Ridge,-0.0008036961663804521,True,0
8,rho,2,MLP,-0.04751627349694667,True,0
8,rho,2,Ridge,-0.0009193175377270269,True,1
8,rho,2,MLP,-0.046380992645683294,True,1
8,rho,2,Ridge,-0.0008512644635996658,True,2
8,rho,2,MLP,-0.04514772253379595,True,2
8,rho,2,Ridge,-0.0008111473756713394,True,3
8,rho,2,MLP,-0.04189975708383971,True,3
8,rho,2,Ridge,-0.0006805526241395743,True,4
8,rho,2,MLP,-0.04745281567519131,True,4
8,rho,2,Ridge,-0.001055602144660206,True,5
8,rho,2,MLP,-0.04830025629248955,True,5
8,rho,2,Ridge,-0.000326655546381982,True,6
8,rho,2,MLP,-0.05157289836496006,True,6
8,rho,2,Ridge,-0.0006387847149544434,True,7
8,rho,2,MLP,-0.049522753938276765,True,7
8,rho,2,Ridge,-0.0007400884692206677,True,8
8,rho,2,MLP,-0.04454962366295363,True,8
8,rho,2,Ridge,-0.0007016742059168024,True,9
8,rho,2,MLP,-0.04487959006385682,True,9
8,rho,3,Ridge,0.8057202106316577,False,-1
8,rho,3,MLP,0.9707032966004914,False,-1
8,rho,3,Ridge,-0.0007960161548242084,True,0
8,rho,3,MLP,-0.0446979176352408,True,0
8,rho,3,Ridge,-0.0009984410729164228,True,1
8,rho,3,MLP,-0.045987845772565275,True,1
8,rho,3,Ridge,-0.0010482750213286706,True,2
8,rho,3,MLP,-0.046001618900107476,True,2
8,rho,3,Ridge,-0.0005570090882416334,True,3
8,rho,3,MLP,-0.04380769008224985,True,3
8,rho,3,Ridge,-0.0009184862621901768,True,4
8,rho,3,MLP,-0.0460774495279074,True,4
8,rho,3,Ridge,-0.000816101618547016,True,5
8,rho,3,MLP,-0.048173768918421,True,5
8,rho,3,Ridge,-0.0007348944037969928,True,6
8,rho,3,MLP,-0.048577564846204305,True,6
8,rho,3,Ridge,-0.0004325821511042216,True,7
8,rho,3,MLP,-0.0489036079357021,True,7
8,rho,3,Ridge,-0.0005752279400843774,True,8
8,rho,3,MLP,-0.046893832725627194,True,8
8,rho,3,Ridge,-0.0008738688166952891,True,9
8,rho,3,MLP,-0.04787947017190501,True,9
8,rho,4,Ridge,0.6427868443242215,False,-1
8,rho,4,MLP,0.9181184876407713,False,-1
8,rho,4,Ridge,-0.0008720251592731377,True,0
8,rho,4,MLP,-0.04700236635578166,True,0
8,rho,4,Ridge,-0.0008375745985516048,True,1
8,rho,4,MLP,-0.044976295936121555,True,1
8,rho,4,Ridge,-0.0009406654816160653,True,2
8,rho,4,MLP,-0.04900242604828917,True,2
8,rho,4,Ridge,-0.0009567681296116515,True,3
8,rho,4,MLP,-0.04620007657928919,True,3
8,rho,4,Ridge,-0.0009208533722917967,True,4
8,rho,4,MLP,-0.04601073176015165,True,4
8,rho,4,Ridge,-0.0009118974163639049,True,5
8,rho,4,MLP,-0.05132963261668792,True,5
8,rho,4,Ridge,-0.0007771534442233107,True,6
8,rho,4,MLP,-0.04689913423174432,True,6
8,rho,4,Ridge,-0.0009747036365217454,True,7
8,rho,4,MLP,-0.04843669477836441,True,7
8,rho,4,Ridge,-0.0009453896357396018,True,8
8,rho,4,MLP,-0.044732567680038436,True,8
8,rho,4,Ridge,-0.0006009819425880636,True,9
8,rho,4,MLP,-0.047986693683192264,True,9
8,rho,5,Ridge,0.6784645910761556,False,-1
8,rho,5,MLP,0.9396684107408315,False,-1
8,rho,5,Ridge,-0.0008915704568139837,True,0
8,rho,5,MLP,-0.04672681923424551,True,0
8,rho,5,Ridge,-0.0009143331714454473,True,1
8,rho,5,MLP,-0.04355922023097869,True,1
8,rho,5,Ridge,-0.0007855966102077617,True,2
8,rho,5,MLP,-0.04558067246888751,True,2
8,rho,5,Ridge,-0.0009540917388651593,True,3
8,rho,5,MLP,-0.049407345324579,True,3
8,rho,5,Ridge,-0.0005815136471873039,True,4
8,rho,5,MLP,-0.04648324580019283,True,4
8,rho,5,Ridge,-0.0007691305981600838,True,5
8,rho,5,MLP,-0.045123307474011345,True,5
8,rho,5,Ridge,-0.0010437515977519852,True,6
8,rho,5,MLP,-0.049427242278823336,True,6
8,rho,5,Ridge,-0.0007282181744521887,True,7
8,rho,5,MLP,-0.04377547868524445,True,7
8,rho,5,Ridge,-0.0006121991125710658,True,8
8,rho,5,MLP,-0.04570766495118348,True,8
8,rho,5,Ridge,-0.0008450379790022388,True,9
8,rho,5,MLP,-0.0432401109649259,True,9
5,V_t,agg,Ridge,0.9192402030048745,False,-1
5,V_t,agg,MLP,0.9665159429659618,False,-1
5,V_t,agg,Ridge,-0.0008429432500187239,True,0
5,V_t,agg,MLP,-0.008369055348536047,True,0
5,V_t,agg,Ridge,-0.0007225075964534478,True,1
5,V_t,agg,MLP,-0.010947420420692211,True,1
5,V_t,agg,Ridge,-0.001032030050581989,True,2
5,V_t,agg,MLP,-0.00964710263323254,True,2
5,V_t,agg,Ridge,-0.0009142057362418576,True,3
5,V_t,agg,MLP,-0.01073482636192762,True,3
5,V_t,agg,Ridge,-0.0008942656573751595,True,4
5,V_t,agg,MLP,-0.010202716167976123,True,4
5,V_t,agg,Ridge,-0.001016764745619625,True,5
5,V_t,agg,MLP,-0.009860451575377826,True,5
5,V_t,agg,Ridge,-0.0011645484240265346,True,6
5,V_t,agg,MLP,-0.00963676622368781,True,6
5,V_t,agg,Ridge,-0.001114697362586048,True,7
5,V_t,agg,MLP,-0.01045586251380568,True,7
5,V_t,agg,Ridge,-0.0006569794024289477,True,8
5,V_t,agg,MLP,-0.008902165066421608,True,8
5,V_t,agg,Ridge,-0.0008211597962905603,True,9
5,V_t,agg,MLP,-0.010125125544530355,True,9
5,mu,0,Ridge,0.4681982332238504,False,-1
5,mu,0,MLP,0.8337234305509064,False,-1
5,mu,0,Ridge,-0.0008181500726507807,True,0
5,mu,0,MLP,-0.012522967202974166,True,0
5,mu,0,Ridge,-0.0008079272640759694,True,1
5,mu,0,MLP,-0.01174257506985632,True,1
5,mu,0,Ridge,-0.000981958113318182,True,2
5,mu,0,MLP,-0.011899464832573915,True,2
5,mu,0,Ridge,-0.001216695681533242,True,3
5,mu,0,MLP,-0.01057392394462262,True,3
5,mu,0,Ridge,-0.0009386977805387886,True,4
5,mu,0,MLP,-0.010655690970727027,True,4
5,mu,0,Ridge,-0.0009298929151457802,True,5
5,mu,0,MLP,-0.010805301659362509,True,5
5,mu,0,Ridge,-0.0012330256946978314,True,6
5,mu,0,MLP,-0.010881919876239632,True,6
5,mu,0,Ridge,-0.0009914260295416089,True,7
5,mu,0,MLP,-0.011361791402645682,True,7
5,mu,0,Ridge,-0.0006255397196964108,True,8
5,mu,0,MLP,-0.011130624091757468,True,8
5,mu,0,Ridge,-0.0013240140775724995,True,9
5,mu,0,MLP,-0.012866354862791463,True,9
5,mu,1,Ridge,0.4584616904750292,False,-1
5,mu,1,MLP,0.8675158807379205,False,-1
5,mu,1,Ridge,-0.0009445848195907657,True,0
5,mu,1,MLP,-0.011407891607316412,True,0
5,mu,1,Ridge,-0.0008492978342820922,True,1
5,mu,1,MLP,-0.010558509569525486,True,1
5,mu,1,Ridge,-0.0008609488857106218,True,2
5,mu,1,MLP,-0.01167468238265803,True,2
5,mu,1,Ridge,-0.0011453077297784553,True,3
5,mu,1,MLP,-0.012044348217865064,True,3
5,mu,1,Ridge,-0.0008206024616510099,True,4
5,mu,1,MLP,-0.011450312850276978,True,4
5,mu,1,Ridge,-0.0008979214886732922,True,5
5,mu,1,MLP,-0.011714394694701546,True,5
5,mu,1,Ridge,-0.0008725522005689435,True,6
5,mu,1,MLP,-0.011839527820614792,True,6
5,mu,1,Ridge,-0.0008894343156262252,True,7
5,mu,1,MLP,-0.0108380917207743,True,7
5,mu,1,Ridge,-0.0009788046853119515,True,8
5,mu,1,MLP,-0.011342404686478647,True,8
5,mu,1,Ridge,-0.000898662736851552,True,9
5,mu,1,MLP,-0.012645999454805068,True,9
5,mu,2,Ridge,0.49343620693662177,False,-1
5,mu,2,MLP,0.8491849179134195,False,-1
5,mu,2,Ridge,-0.0007018620317689628,True,0
5,mu,2,MLP,-0.010986369117219752,True,0
5,mu,2,Ridge,-0.0010415653760856626,True,1
5,mu,2,MLP,-0.011270994774612086,True,1
5,mu,2,Ridge,-0.0007054276256965419,True,2
5,mu,2,MLP,-0.011792113786456993,True,2
5,mu,2,Ridge,-0.0010357652401197458,True,3
5,mu,2,MLP,-0.012327324356937374,True,3
5,mu,2,Ridge,-0.0005695442513212523,True,4
5,mu,2,MLP,-0.010164882638512784,True,4
5,mu,2,Ridge,-0.0008726559035877379,True,5
5,mu,2,MLP,-0.010332641990120761,True,5
5,mu,2,Ridge,-0.0008910294442417311,True,6
5,mu,2,MLP,-0.011025521856867605,True,6
5,mu,2,Ridge,-0.00036107115035659553,True,7
5,mu,2,MLP,-0.011856507550267681,True,7
5,mu,2,Ridge,-0.0009314602015196183,True,8
5,mu,2,MLP,-0.01242985177827718,True,8
5,mu,2,Ridge,-0.0013293576587333211,True,9
5,mu,2,MLP,-0.013089970295318531,True,9
5,mu,3,Ridge,0.38100236606984156,False,-1
5,mu,3,MLP,0.8233425460592828,False,-1
5,mu,3,Ridge,-0.0009663685599298865,True,0
5,mu,3,MLP,-0.011990309480801464,True,0
5,mu,3,Ridge,-0.0007657374022432606,True,1
5,mu,3,MLP,-0.010954525989839592,True,1
5,mu,3,Ridge,-0.0009653916546093378,True,2
5,mu,3,MLP,-0.010834384891935,True,2
5,mu,3,Ridge,-0.0006324299172690839,True,3
5,mu,3,MLP,-0.010355949905700924,True,3
5,mu,3,Ridge,-0.001020336915778186,True,4
5,mu,3,MLP,-0.011770505432598144,True,4
5,mu,3,Ridge,-0.0008787274585849491,True,5
5,mu,3,MLP,-0.01120162690301485,True,5
5,mu,3,Ridge,-0.0007796133420454821,True,6
5,mu,3,MLP,-0.010608194898750156,True,6
5,mu,3,Ridge,-0.0008018758012807492,True,7
5,mu,3,MLP,-0.011812888322685433,True,7
5,mu,3,Ridge,-0.0007847823756305771,True,8
5,mu,3,MLP,-0.011988968443490178,True,8
